"","X","sample.id","PC1","PC2","country","chrom","normalised","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS"
"73",73,"MMR007_trimmed",-0.487469772293726,-0.0312378392148423,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",11879.2576081439,558,0,0,0
"74",74,"MMR013_trimmed",-0.459395822271792,-0.0946263571779944,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",5228.99480026236,558,0,118,0.21147
"75",75,"MMR016_trimmed",-0.466085446526713,-0.0348560984906103,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",11399.4020508523,558,0,0,0
"76",76,"MMR_NDK113_trimmed",-0.405148252813119,-0.198489046753923,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",9259.77212446506,558,0,4,0.00716846
"77",77,"MMR_NDK63_trimmed",-0.400636604859528,-0.202215779032132,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",19179.0715817068,558,0,0,0
"78",78,"MMR_NKD92_trimmed",-0.306572026699107,-0.154741854068517,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",37851.7165896595,558,0,0,0
"79",79,"MMR_TKU102_trimmed",-0.462868792140688,-0.0900175339389879,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",35524.279103662,558,0,0,0
"80",80,"MMR_TKU23_trimmed",-0.493928881266702,-0.0203452059356219,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",6086.7091741638,558,0,87,0.155914
"81",81,"MMR_TKU25_trimmed",-0.468475425707419,-0.070772650903634,"Myanmar","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",33522.3281945462,558,0,0,0
"82",82,"MOZ028_trimmed",-0.490797219661226,-0.0395413359379781,"Mozambique","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",5224.17344615414,558,0,25,0.0448029
"83",83,"MOZ030_trimmed",-0.444262424677176,-0.106017876048323,"Mozambique","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",20684.9056514787,558,0,0,0
"84",84,"ZAF002_trimmed",-0.457742904955338,-0.0756366122530253,"South Africa","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",24261.9069500489,558,0,0,0
"85",85,"ZAF003_trimmed",-0.419670992277382,-0.0865416615024801,"South Africa","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",17507.1967500598,558,0,0,0
"86",86,"ZAF004_trimmed",-0.356558817625763,-0.279214218559358,"South Africa","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",21267.8208722114,558,0,0,0
"87",87,"ZAF005_trimmed",-0.489119907254034,0.00196865925582796,"South Africa","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",93767.0524048279,558,0,0,0
"88",88,"ZAF006_trimmed",-0.460033566004753,-0.0804033649305558,"South Africa","NC_016198_Ascaris_lumbricoides_mitochondrion_complete_genome",9506.89831682958,558,0,3,0.00537634
"89",1,"CHN_TT001_trimmed",-0.0396588808850376,-0.0232379103207649,"China","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",2864530.63429047,1496,0,0,0
"90",2,"CHN_TT002_trimmed",-0.024259011156468,-0.0168639267120853,"China","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",2862841.69875304,1496,0,0,0
"91",3,"CHN_TT003_trimmed",-0.0408468404543613,-0.0234699998129524,"China","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",3091299.64994409,1496,0,0,0
"92",4,"CHN_TT004_trimmed",-0.0360058493486501,-0.0212325304530806,"China","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",802466.994150794,1496,0,0,0
"93",5,"CHN_TT005_trimmed",-0.0315467765631467,-0.0182683406679341,"China","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",2416687.08938121,1496,0,0,0
"94",6,"CHN_TT006_trimmed",-0.0474758725817351,-0.0126348585064264,"China","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",1284891.11883628,1496,0,0,0
"95",7,"CHN_TT007_trimmed",-0.0431447997670577,-0.0284305935905718,"China","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",865762.523212538,1496,0,0,0
"96",8,"CMR001_trimmed",-0.324087669901918,-0.242843568579708,"Cameroon","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",11076.4451722731,1496,0,40,0.026738
"97",9,"HND_TT001_trimmed",-0.322356499532384,-0.242591770689947,"Honduras","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",1808151.41880912,1496,0,0,0
"98",10,"HND_TT002_trimmed",-0.338904025207706,-0.22594225638721,"Honduras","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",2098625.27256642,1496,0,0,0
"99",11,"HND_TT003_trimmed",-0.32162731312842,-0.242981717799582,"Honduras","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",3166568.71243677,1496,0,0,0
"100",12,"HND_TT004_trimmed",-0.338274734085292,-0.226840226513454,"Honduras","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",1462748.00414128,1496,0,0,0
"101",13,"HND_TT005_trimmed",-0.332934868358452,-0.219790559084084,"Honduras","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",1209751.20815616,1496,0,0,0
"102",14,"HND_TT006_trimmed",-0.309804681455416,-0.221457267018468,"Honduras","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",1629564.75473817,1496,0,0,0
"103",15,"HND_TT007_trimmed",-0.330163864074192,-0.219869451576678,"Honduras","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",2149674.3366547,1496,0,0,0
"104",16,"HND_TT008_trimmed",-0.334724238854753,-0.228054746485387,"Honduras","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",8582123.17472453,1496,0,0,0
"105",17,"MOZ030_trimmed",-0.215823142721332,-0.160564636324662,"Mozambique","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",2054.4817752996,1496,0,0,0
"106",18,"UGA_TT001_trimmed",0.281699752816942,-0.298597486243828,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",295757.336321737,1496,0,403,0.269385
"107",19,"UGA_TT002_trimmed",0.27776107426894,-0.318648500488655,"Uganda","NC_017750_Trichuris_trichiura_mitochondrion_complete_genome",242016.861046562,1496,0,337,0.225267
