"","species","start_pos","mitogenome_size_bp","sample_id","raw_read_counts","raw_reads_n","normalised","N_DATA","N_GENOTYPES_FILTERED","N_MISS","F_MISS","chrom","PC1","PC2","country"
"61","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM062_trimmed",1492379,83751566,1247487.92742692,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.411718989373714,-0.117340983027182,"Kenya"
"62","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM064_trimmed",7342029,95241536,5396843.98249576,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.417172980362358,-0.144872328437316,"Kenya"
"63","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM065_trimmed",6097641,95555338,4467422.80720685,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.431735837537235,0.00570798257005244,"Kenya"
"64","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM067_trimmed",1564548,145606348,752244.014666542,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.424967281431492,0.083287648693973,"Kenya"
"65","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"KEN_ALUM068_trimmed",2001169,135370254,1034929.29722227,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.430465820844553,0.00599486732390439,"Kenya"
"66","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR002_trimmed",49834,70562020,49443.009934221,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.0688269261627776,0.0164106417176095,"Myanmar"
"67","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR007_trimmed",13738,79659210,12073.6247955455,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.405217925932537,-0.00294801103576264,"Myanmar"
"68","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR013_trimmed",6705,88690668,5292.62366993843,346,0,78,0.225434,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.348277076720659,-0.0192575866681102,"Myanmar"
"69","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR016_trimmed",12517,75671922,11580.1889559334,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.36676851890532,0.00278162589601244,"Myanmar"
"70","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR_NDK113_trimmed",5003,36645824,9557.76107650436,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.185234343349505,-0.00921563447953144,"Myanmar"
"71","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR_NDK63_trimmed",12694,44801624,19836.0363543314,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.19595176654703,-0.0166138834375517,"Myanmar"
"72","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR_NKD92_trimmed",22617,41118442,38507.7821188038,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.20662213466076,-0.0117557568513348,"Myanmar"
"73","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR_TKU102_trimmed",18593,35545456,36619.7637173087,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.346716658221848,0.00176607392091807,"Myanmar"
"74","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR_TKU23_trimmed",3381,37687968,6280.4766711874,346,0,77,0.222543,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.408883906382635,-0.00213271147381271,"Myanmar"
"75","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MMR_TKU25_trimmed",15865,32147398,34549.7101194267,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.3641256108586,-0.00496796424328921,"Myanmar"
"76","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"MOZ030_trimmed",49146,162697410,21147.4348359025,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.291124008651784,-0.0446237726405774,"Mozambique"
"77","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"ZAF002_trimmed",27342,77746670,24620.6004754164,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.329559429822436,-0.00577488375561267,"South Africa"
"78","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"ZAF003_trimmed",23155,91508578,17714.672883924,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.309572596592236,-0.00501010721897354,"South Africa"
"79","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"ZAF004_trimmed",24737,80263198,21576.4865952374,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.0808354795749913,-0.00117850129363504,"South Africa"
"80","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"ZAF005_trimmed",133455,98244530,95099.1485891254,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.421217949681413,-0.00468952306287845,"South Africa"
"81","NC_001327_Ascaris_suum_mitochondrion_genome_USA",0,14284,"ZAF006_trimmed",10014,72830114,9626.0199138961,346,0,0,0,"NC_001327_Ascaris_suum_mitochondrion_genome_USA",-0.337370707709884,-0.00491851600400989,"South Africa"
