"","species","start","end","sample_id","raw_read_counts","raw_reads_n","normalised","country","total_read_counts","percentage"
"225","Ascaris_lum_TZA",0,14280,"KEN_ALUM046_trimmed",3752,92548370,2839.00297800183,"Kenya",2946688.96490233,0.000963455258365192
"226","Ascaris_lum_TZA",0,14280,"KEN_ALUM047_trimmed",4429,101619008,3052.12644493292,"Kenya",2946688.96490233,0.00103578167946683
"227","Ascaris_lum_TZA",0,14280,"KEN_ALUM048_trimmed",12322,92929510,9285.37290319969,"Kenya",2946688.96490233,0.00315112080501087
"228","Ascaris_lum_TZA",0,14280,"KEN_ALUM049_trimmed",16065,118825398,9467.67289599148,"Kenya",2946688.96490233,0.0032129868502444
"229","Ascaris_lum_TZA",0,14280,"KEN_ALUM050_trimmed",4327,111419924,2719.54237270699,"Kenya",2946688.96490233,0.000922914635748511
"230","Ascaris_lum_TZA",0,14280,"KEN_ALUM051_trimmed",14365,107281166,9376.78456023102,"Kenya",2946688.96490233,0.00318214262581386
"231","Ascaris_lum_TZA",0,14280,"KEN_ALUM052_trimmed",13190,87706278,10531.3951161753,"Kenya",2946688.96490233,0.00357397582222404
"232","Ascaris_lum_TZA",0,14280,"KEN_ALUM053_trimmed",9012,255900564,2466.16274348965,"Kenya",2946688.96490233,0.000836926724491058
"233","Ascaris_lum_TZA",0,14280,"KEN_ALUM054_trimmed",77,83200216,64.8094094220272,"Kenya",2946688.96490233,2.19939770345512e-05
"234","Ascaris_lum_TZA",0,14280,"KEN_ALUM055_trimmed",5524,225170420,1717.96425966411,"Kenya",2946688.96490233,0.000583015133299301
"235","Ascaris_lum_TZA",0,14280,"KEN_ALUM056_trimmed",33,102386268,22.5706475574234,"Kenya",2946688.96490233,7.65966405896916e-06
"236","Ascaris_lum_TZA",0,14280,"KEN_ALUM057_trimmed",2285,81778276,1956.68108242146,"Kenya",2946688.96490233,0.000664027016671003
"237","Ascaris_lum_TZA",0,14280,"KEN_ALUM058_trimmed",3455,86396810,2800.41333368078,"Kenya",2946688.96490233,0.000950359324325089
"238","Ascaris_lum_TZA",0,14280,"KEN_ALUM059_trimmed",14399,108176496,9321.18686237844,"Kenya",2946688.96490233,0.0031632747715833
"239","Ascaris_lum_TZA",0,14280,"KEN_ALUM060_trimmed",3931,98446872,2796.23015391305,"Kenya",2946688.96490233,0.000948939703924852
"240","Ascaris_lum_TZA",0,14280,"KEN_ALUM061_trimmed",7740,131098784,4134.41521107236,"Kenya",2946688.96490233,0.00140307146777855
"241","Ascaris_lum_TZA",0,14280,"KEN_ALUM062_trimmed",2777,83751566,2321.96001105037,"Kenya",2946688.96490233,0.000787989515930242
"242","Ascaris_lum_TZA",0,14280,"KEN_ALUM063_trimmed",84,99006736,59.4136639468295,"Kenya",2946688.96490233,2.01628555488885e-05
"243","Ascaris_lum_TZA",0,14280,"KEN_ALUM064_trimmed",28798,95241536,21174.2350172373,"Kenya",2946688.96490233,0.00718577198660637
"244","Ascaris_lum_TZA",0,14280,"KEN_ALUM065_trimmed",18320,95555338,13425.8660177217,"Kenya",2946688.96490233,0.00455625489409828
"245","Ascaris_lum_TZA",0,14280,"KEN_ALUM066_trimmed",20,110704150,12.6513795922704,"Kenya",2946688.96490233,4.29342212325748e-06
"246","Ascaris_lum_TZA",0,14280,"KEN_ALUM067_trimmed",3829,145606348,1841.52173710147,"Kenya",2946688.96490233,0.000624946086619802
"247","Ascaris_lum_TZA",0,14280,"KEN_ALUM068_trimmed",4126,135370254,2134.40963352031,"Kenya",2946688.96490233,0.000724341679404586
"248","Ascaris_lum_TZA",0,14280,"MMR002_trimmed",1,70562020,0.992432064791821,"Myanmar",2707.74365314565,0.000366516255569056
"249","Ascaris_lum_TZA",0,14280,"MMR007_trimmed",2,79659210,1.75818994952327,"Myanmar",2707.74365314565,0.00064931920253261
"250","Ascaris_lum_TZA",0,14280,"MMR013_trimmed",1,88690668,0.789575868393299,"Myanmar",2707.74365314565,0.000291599194582556
